"Record.ID","Incident.Year","Incident.Month","Incident.Day","Operator.ID","Operator","Aircraft","Aircraft.Type","Aircraft.Make","Aircraft.Model","Aircraft.Mass","Engine.Make","Engine.Model","Engines","Engine.Type","Engine1.Position","Engine2.Position","Engine3.Position","Engine4.Position","Airport.ID","Airport","State","FAA.Region","Warning.Issued","Flight.Phase","Visibility","Precipitation","Height","Speed","Distance","Species.ID","Species.Name","Species.Quantity","Flight.Impact","Fatalities","Injuries","Aircraft.Damage","Radome.Strike","Radome.Damage","Windshield.Strike","Windshield.Damage","Nose.Strike","Nose.Damage","Engine1.Strike","Engine1.Damage","Engine2.Strike","Engine2.Damage","Engine3.Strike","Engine3.Damage","Engine4.Strike","Engine4.Damage","Engine.Ingested","Propeller.Strike","Propeller.Damage","Wing.or.Rotor.Strike","Wing.or.Rotor.Damage","Fuselage.Strike","Fuselage.Damage","Landing.Gear.Strike","Landing.Gear.Damage","Tail.Strike","Tail.Damage","Lights.Strike","Lights.Damage","Other.Strike","Other.Damage"
3080,1997,3,1,"MIL","MILITARY","C-130E","A","561","",NA,NA,"",NA,"","",NA,"",NA,"KTUS","TUCSON INTL","AZ","AWP","","APPROACH","DAY","",1700,100,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3081,1997,3,1,"MIL","MILITARY","C-130E","A","561","",NA,NA,"",NA,"","",NA,"",NA,"KTUS","TUCSON INTL","AZ","AWP","","APPROACH","DAY","",2500,100,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3079,1997,3,1,"MIL","MILITARY","C-130E","A","561","",NA,NA,"",NA,"","",NA,"",NA,"KTUS","TUCSON INTL","AZ","AWP","","LANDING ROLL","DAY","",0,100,0,"UNKBM","UNKNOWN MEDIUM BIRD","1","",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115677,1997,3,4,"BUS","BUSINESS","BE-58  BARON","A","123","12",2,13,"",2,"A","4",4,"",NA,"KRYN","RYAN FIELD ARPT","AZ","AWP","","LANDING ROLL","NIGHT","",0,NA,0,"1G81","COLLARED PECCARY","2-10","",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0
114820,1997,3,9,"UAL","UNITED AIRLINES","DC-10-10","A","583","24",4,22,"7",3,"D","1",6,"1",NA,"KPHX","PHOENIX SKY HARBOR INTL ARPT","AZ","AWP","","CLIMB","","",500,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","",NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119990,1997,3,12,"SWA","SOUTHWEST AIRLINES","B-737-300","A","148","24",4,10,"1",2,"D","1",1,"",NA,"KPHX","PHOENIX SKY HARBOR INTL ARPT","AZ","AWP","N","CLIMB","NIGHT","NONE",4000,250,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118085,1997,3,13,"UAL","UNITED AIRLINES","B-737-500","A","148","33",4,10,"1",2,"D","1",1,"",NA,"KRNO","RENO TAHOE INTL","NV","AWP","","APPROACH","","",NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114111,1997,3,18,"SWA","SOUTHWEST AIRLINES","B-737","A","148","95",4,10,"1",2,"D","1",1,"",NA,"KPHX","PHOENIX SKY HARBOR INTL ARPT","AZ","AWP","N","APPROACH","NIGHT","NONE",6000,210,NA,"UNKBS","UNKNOWN SMALL BIRD","1","",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117871,1997,3,20,"PVT","PRIVATELY OWNED","EXPERIMENTAL","","998","3",1,NA,"",NA,"","",NA,"",NA,"KDVT","PHOENIX DEER VALLEY ARPT","AZ","AWP","","","DAY","",NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
108841,1997,3,21,"ABX","ABX AIR","DC-8-61","A","583","16",4,34,"1",4,"D","1",1,"1",1,"KPHX","PHOENIX SKY HARBOR INTL ARPT","AZ","AWP","","CLIMB","NIGHT","",NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119945,1997,3,29,"1AWE","AMERICA WEST AIRLINES","B-737-300","A","148","24",4,10,"1",2,"D","1",1,"",NA,"KPHX","PHOENIX SKY HARBOR INTL ARPT","AZ","AWP","N","TAKEOFF RUN","DUSK","NONE",0,NA,0,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113825,1997,4,20,"ASH","MESA AIRLINES","BE-1900","A","123","27",3,31,"4",2,"C","4",4,"",NA,"KFMN","FOUR CORNERS REGIONAL","NM","ASW","","CLIMB","DAWN","NONE",700,160,NA,"ZT1","BLACKBIRD","1","NONE",NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3848,1997,4,22,"MIL","MILITARY","C-130E","A","561","",NA,NA,"",NA,"","",NA,"",NA,"KRNO","RENO TAHOE INTL","NV","AWP","","APPROACH","NIGHT","",400,135,NA,"M7005","AMERICAN COOT","1","",NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118691,1997,4,26,"AAL","AMERICAN AIRLINES","B-737","A","148","95",4,NA,"",2,"D","1",1,"",NA,"KPHX","PHOENIX SKY HARBOR INTL ARPT","AZ","AWP","","DESCENT","NIGHT","",9000,NA,13,"UNKBL","UNKNOWN LARGE BIRD","1","",NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118019,1997,4,27,"AMT","ATA AIRLINES","B-727-200","A","148","11",4,34,"10",3,"D","5",6,"5",NA,"KLAS","MC CARRAN INTL ARPT","NV","AWP","N","APPROACH","NIGHT","NONE",700,138,NA,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119636,1997,4,27,"1AWE","AMERICA WEST AIRLINES","B-737-300","A","148","24",4,10,"1",2,"D","1",1,"",NA,"KLAS","MC CARRAN INTL ARPT","NV","AWP","","CLIMB","NIGHT","",NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119416,1997,5,4,"1AWE","AMERICA WEST AIRLINES","B-757-200","A","148","26",4,37,"37",2,"D","1",1,"",NA,"KLAS","MC CARRAN INTL ARPT","NV","AWP","","CLIMB","NIGHT","",7000,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2618,1997,5,7,"MIL","MILITARY","E-6","A","148","",NA,NA,"",NA,"","",NA,"",NA,"KABQ","ALBUQUERQUE INTL SUNPORT","NM","ASW","","APPROACH","NIGHT","",1500,200,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
115920,1997,5,11,"AAL","AMERICAN AIRLINES","MD-82","A","583","37",4,34,"10",2,"D","5",5,"",NA,"KTUS","TUCSON INTL","AZ","AWP","N","CLIMB","DAY","NONE",10,150,NA,"O2205","MOURNING DOVE","1","NONE",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
113374,1997,5,17,"GOV","GOVERNMENT","HUGHES 500","B","478","5",1,1,"1",1,"F","6",NA,"",NA,"KVGT","NORTH LAS VEGAS","NV","AWP","","","NIGHT","",NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","PRECAUTIONARY LANDING",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121051,1997,5,26,"1AWE","AMERICA WEST AIRLINES","A-320","A","04A","3",4,23,"1",2,"D","1",1,"",NA,"KPHX","PHOENIX SKY HARBOR INTL ARPT","AZ","AWP","N","APPROACH","NIGHT","NONE",300,140,NA,"UNKBL","UNKNOWN LARGE BIRD","1","NONE",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
117168,1997,5,27,"PVT","PRIVATELY OWNED","C-152","A","226","36",1,7,"7",1,"A","7",NA,"",NA,"KPAN","PAYSON ARPT","AZ","AWP","","LANDING ROLL","NIGHT","NONE",0,NA,0,"1G2","WAPITI (ELK)","1","",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
120914,1997,5,30,"1AWE","AMERICA WEST AIRLINES","B-737","A","148","95",4,10,"1",2,"D","1",1,"",NA,"KABQ","ALBUQUERQUE INTL SUNPORT","NM","ASW","","APPROACH","","",NA,NA,NA,"ZX3","SPARROW","1","",NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115212,1997,6,9,"USA","1US AIRWAYS","FOKKER F28 MK 4000","A","372","7",4,37,"43",2,"D","5",5,"",NA,"KDUG","BISBEE DOUGLAS INTL ARPT","AZ","AWP","N","CLIMB","DAY","NONE",3500,200,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119383,1997,6,17,"ACA","AIR CANADA","A-320","A","04A","3",4,NA,"",2,"D","1",1,"",NA,"KPHX","PHOENIX SKY HARBOR INTL ARPT","AZ","AWP","","APPROACH","DAY","",NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115486,1997,6,24,"UAL","UNITED AIRLINES","B-727-200","A","148","11",4,34,"10",3,"D","5",6,"5",NA,"KRNO","RENO TAHOE INTL","NV","AWP","","TAKEOFF RUN","DAWN","",0,NA,0,"UNKBS","UNKNOWN SMALL BIRD","2-10","",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114480,1997,7,21,"DAL","DELTA AIR LINES","B-727-200","A","148","11",4,34,"10",3,"D","5",6,"5",NA,"KABQ","ALBUQUERQUE INTL SUNPORT","NM","ASW","N","CLIMB","DUSK","NONE",50,150,NA,"UNKBS","UNKNOWN SMALL BIRD","1","PRECAUTIONARY LANDING",NA,NA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113974,1997,7,23,"AAL","AMERICAN AIRLINES","MD-82","A","583","37",4,34,"10",2,"D","5",5,"",NA,"KABQ","ALBUQUERQUE INTL SUNPORT","NM","ASW","N","TAKEOFF RUN","DAY","NONE",0,100,0,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118732,1997,7,30,"1AWE","AMERICA WEST AIRLINES","B-737-300","A","148","24",4,10,"1",2,"D","1",1,"",NA,"KRNO","RENO TAHOE INTL","NV","AWP","N","APPROACH","DAY","NONE",700,145,NA,"NE1","GULL","1","NONE",NA,NA,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
117262,1997,7,31,"BUS","BUSINESS","CITATION II","A","226","37",3,31,"1",2,"D","5",5,"",NA,"KRNO","RENO TAHOE INTL","NV","AWP","Y","CLIMB","DAY","NONE",20,110,0,"UNKBM","UNKNOWN MEDIUM BIRD","1","",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
112979,1997,8,4,"SWA","SOUTHWEST AIRLINES","B-737-300","A","148","24",4,10,"1",2,"D","1",1,"",NA,"KPHX","PHOENIX SKY HARBOR INTL ARPT","AZ","AWP","N","LANDING ROLL","DAY","NONE",0,130,0,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117488,1997,8,13,"FDX","FEDEX EXPRESS","B-727","A","148","94",4,34,"10",3,"D","5",6,"5",NA,"KTUS","TUCSON INTL","AZ","AWP","","","DAY","",NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115255,1997,8,14,"FDX","FEDEX EXPRESS","B-727-100","A","148","10",4,34,"10",3,"D","5",6,"5",NA,"KTUS","TUCSON INTL","AZ","AWP","","TAKEOFF RUN","NIGHT","NONE",0,95,0,"UNKBM","UNKNOWN MEDIUM BIRD","1","ABORTED TAKEOFF",NA,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114003,1997,8,22,"ASH","MESA AIRLINES","BE-1900","A","123","27",3,31,"4",2,"C","4",4,"",NA,"KFLG","FLAGSTAFF PULLIAM","AZ","AWP","","APPROACH","DAY","RAIN",10,110,NA,"UNKBS","UNKNOWN SMALL BIRD","1","",NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117665,1997,9,2,"1AWE","AMERICA WEST AIRLINES","B-737-300","A","148","24",4,10,"1",2,"D","1",1,"",NA,"KPHX","PHOENIX SKY HARBOR INTL ARPT","AZ","AWP","","CLIMB","DAY","",4500,230,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113590,1997,9,4,"FDX","FEDEX EXPRESS","A-300","A","04A","1",4,NA,"",2,"D","1",1,"",NA,"KABQ","ALBUQUERQUE INTL SUNPORT","NM","ASW","","CLIMB","NIGHT","",NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","PRECAUTIONARY LANDING",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120348,1997,9,4,"NWA","NORTHWEST AIRLINES","B-727","A","148","94",4,34,"10",3,"D","5",6,"5",NA,"KRNO","RENO TAHOE INTL","NV","AWP","N","APPROACH","NIGHT","NONE",1500,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","PRECAUTIONARY LANDING",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
